tweet,label
"WATCH TONIGHT: Our one-hour special covering the anti-abortion rights movement, their years-long strategy to overturn Roe v. Wade and how they pulled it off. We meet with the people behind the movement. And those who could be most affected by it 11PM TONIGHT",0
"""You can’t on one hand fund these extremists and then beg forgiveness for your sins by paying for your folks to go out of state""

Corporations announced they'll pay for employees' travel for abortion. But they've given millions to anti-abortion pols",1
"So, after a longish hiatus 
 and i will be getting the ball rolling with a fresh episode of 
 this evening. Among other things, we’ll be talking about our respective experiences with the anti-abortion movement’s shifting strategies over the decades.",0
"BREAKING: #NVSen GOP nominee 
 caught revealing the dangerous, anti-abortion rights agenda he’s hiding from voters:

“#RoeVWade was always a joke.[Nevada is] not pro-life state. We’ve got work to do on that.”",1
I am begging mainstream news outlets to stop using anti-abortion propaganda language referring to all people who need abortion care as “mothers”,1
"this is a great deal for a president who is anti-abortion, like ronald reagan, or george w bush, or joe biden",1
"To all the """"progressive"""" anti-abortion people who said the Dobbs ruling would in no way impact LGBTQ rights: how does it feel to be so monumentally, predictably wrong?",1
"McMaster supports anti-abortion laws, no exceptions. His archaic policies have failed SC! 

Joe Cunningham believes in women having control over their bodies. 

 
 will protect the rights of women in South Carolina!

#FreshVotesBlue
#DemVoice1 
#wtpBLUE",1
"For all the haters calling me a liar, blocking me, vowing to derail my campaign, using vile language to demean me because I said Biden was putting an anti-abortion judge on the Federal Bench, and there were no openings.

WAKE UP BEFORE ITS TOO LATE",1
It's ridiculous to talk about this as if the anti-abortion legislation had anything to do with the science of gestation or the Republican Party as a good-faith interlocutor. It's about inflicting pain and control on women. Plain and Simple.,1
"Translation - Johnson lackey can’t believe that someone as eminent as wot I is chose to mention his anti abortion and generally off the scale rancid views on the country’s No 1 podcast 
 and so wants you all to know, as he listens to it again, that I mentioned him",1
"Dear 
 ,
DO NOT nominate Chad Meredith to a federal judgeship in Kentucky. 
He is an extreme right-wing anti-abortion republican. What the fuck are you thinking? Don't do it.
#POTUS",1
"If I saw a man with an ""Abortion is Murder"" sign I would go up to him and tell him to get lost! The I would tell him to take down his sign.There's nothing worse than these male anti-abortion activists! Our bodies, our choice!#bbcnews",1
"But helping your conservative corporatist anti-abortion buddy Cuellar beat pro-choice progressive Cisneros in TX came first, huh?

And now Biden is set to grant a lifetime appointment to a *Republican* anti-abortion judge in KY.

How does anyone take these people seriously?",1
"Great, just f'ing great! I heard this yesterday, and the following day - boom; she's retiring for the anti-abortion nomination. What is going on? Why did Biden do this? I don't get it. What am I missing? I still can't figure this out. Help?!",1
“The Biden-McConnell Deal to Make an Anti-Abortion Advocate a Federal Judge Is Still On. New details of the controversial Kentucky compromise that has enraged Democrats.”,1
"When abortion rights are under assault, there's no deal worth cutting that would elevate another anti-abortion extremist to the federal courts. 

McConnell's hand-picked judges are the cause of the crisis our judiciary faces, not part of the solution.",1
"For those who say they are tired of hearing about the link between the anti-Abortion movement and white male domination in the US…

For those who cheer the Supreme court ruling on Roe and still claim to be anti-racist and pro-women, the truth Is… 1/",1
"Scoop from 
: Joe Biden struck a deal with Mitch McConnell to nominate a Republican anti-abortion advocate to a federal judgeship. More details:",0
"I love Politico. It talks about growing tensions between national union leadership and locals over abortion rights and then the only evidence it cites on the anti-abortion side is the National Right to Life Committee. Oh, OK.",1
"We must thank Imran Khan for giving Pakistan a great economist in form of Muzzammil sb. I hope the coming generations read his theory about gender segregated washrooms, McDonald’s as marker of economic prosperity, & oil price having no impact on cost of living. Nobel Prize worthy",1
Lawmakers running for national seats in the coming elections support the extension of work-from-home arrangement for business process outsourcing workers (BPO) amid pandemic and oil price surge.,1
".
 and 
 revoke the license from them, if they can’t reduce the price of gas. Since the crude oil price has dropped. 
 I’m going to rally more people to buy electric cars. Wondering if you could reconsider the price for model 3. 
 time to act!",0
"And today, I joined Democrats & Republicans in passing a supplemental funding bill to support vaccine development, reimbursements to local governments, and assistance to small businesses in response to this crisis

This public health emergency requires swift action. #VA07",0
"For Americans.

Do you trust that the US government is capable of protecting us from the Corona virus, with few fatalities? 

#CoronaOutbreak #coronavirusnewyork #CoronaVirusUpdate #CoronavirusUSA 
#Election2020 #election #Democrats #Republicans",1
"Chief Justice Roberts never spoke out about the Sham Trial
He watched Republicans insult the Constitution with Fidget Spinners and leave the Chamber
Not a fucking peep about the Witness and Document Block
But Hey a Democrat trying to preserve Women's Rights?
Not acceptable.",0
"Health Insurance is BIG business - trillions of $$$!

Republicans want that money; they believe the richer they get, the better for the country. 

Democrats want to take care of our people.

It's time for a change! 

#voteblue

#wtp2020",0
"alt-centrist grifters whose career was built on defending republicans to continue the shadowboxing game between them and establishment democrats are now decrying bernie supporters for only being in it for their own personal gain, namely twitter likes and retweets. how quaint",0
"I have a theory that Republicans are more likely to vote a woman into the Oval Office than Democrats are, and it's precisely *because* conservatives are more comfortable with a divide between ""masculine"" and ""feminine"" traits. Liberal women are up against a crazy standard.",0
"Tulsi has given you a choice: #Democrats #Progressives #Libertarians #Republicans #Greens #Constitutionalist #Unaffiliated #Independent #Americans it is now up to you.

Are you going to choose for yourself? or let others choose for you?

It's your voice, your choice, your vote.",1
"Life for most Americans is identifying yourself with some form of mission statement that amounts to a form of a Ponzi scheme from cryptocurrencies, Herbalife, evangelicals, Democrats, Republicans, to Wall Street banks. Ever hear of the individual? I'm one of them.",1
"The difference between Democrats and Republicans is that Democrats spend your tax dollars on you (education, healthcare, research etc) while Republicans spend your tax dollars to line the pockets of their friends (Halliburton, Trump hotels, corporate tax cuts etc)",0
"Great time tonight 
 with 
 & young Democrats and young Republicans coming together to help prepare backpacks of food for kids in need! They let me join because I still act young, or at least immature! 
 is a great organization - my donation on way!",0
When you wonder why we feel the need to proclaim loudly & often #BlackLivesMatter. this is why. Sending love to.,0
The reason why confessing #blacklivesmatter is so important is because the majority of US history & current systems deny that reality.,0
"Frank Giaccio (11) Yrs Old Mowing The ( WH ) Lawn 

Coming After A Week Of (2) Hurricanes & #BLM In St Louis 

A Nice Story By A Good Kid",0
"Hey, #BlackLivesMatter, wave a magic wand. Racism's GONE! Does that solve the No. 1 problem: that 75% of black kids are born out of wedlock?",0
VA #fightfor15 is marching today to end white supremacy & dismantle confederate monuments & the systems that uphold them #blacklivesmatter,0
"Being boxed in, or kettled is a terrifying police tactic that disorients people & causes violence b/c people are trapped & afraid. #BLM",0
It is possible to both condemn vandalism to the Mayor's house AND the 10 busses of police in riot gear I've now seen. #BlackLivesMatter,0
"Thank you 
 for standing up outside your direct purview.

Other orgs would be wise to take note! #StLouis #BlackLivesMatter #RESIST",0
"#BlackLivesMatter got a shoutout earlier at #JuggaloMarch: ""You have no excuse to be racist, sexist, ignorant."" (And from Shaggy right now)",0
The wife of the Gilmer County Sheriff called for a black woman to be lynched. Public servants & their partners should know #BlackLivesMatter,0
"TIME: The Kalief Browder Story on Netflix is a must watch. Heartbreaking in every way, but extremely important to see. #BLM 
 RIP",0
6 years? Marching? Interesting #BlackLivesMatter just celebrated 4 years. Yes we heard all the pro-good cop/ all lives matter we could take.,0
"How much damage did the cops do this time, there's live stream of them taking out windows and trampling old ladies #FTP #BlackLivesMatter",0
Prayers out for the 11 officers who have been injured by the violent #BLM protestors in St. Louis. Let's try being peaceful,1
A black man born in the 1960's is more likely to go to jail than have a 4 year college degree #BlackLivesMatter #AAP17,0
The next protest in response to the #STLVerdict is scheduled to begin at 3:00 pm at 20th & Olive #blacklivesmatter,0
"Black ppl in DMV, Thur 9/21 we address racism more monumental than statues and the fight for power against it #BlackLivesMatter #HumanRights",0
"We stand w you against authoritarian policing, St. Louis. This was our city Portland, OR a year ago & last week #resist #BlackLivesMatter",0
"1 yr ago—more important than ever. ""Protest & policy go hand in hand, & truth is important in every space."" 
 #BlackLivesMatter",0
The next protest in response to the #STLVerdict is scheduled to begin at 7:00 am at 16th & Market #blacklivesmatter,0
It's on Netflix now. Great directing. Riveting. And it's one of the most brutal stories of our times. An example of why there's #BLM,0
The next protest in response to the #STLVerdict is scheduled to begin at 6:30 pm today on the Loop. #blacklivesmatter,0
"reminder: people are wearing gas masks because they are afraid of being chemically attacked, not to scare police officers. #blacklivesmatter",1
"Stay woke , they released this 2k18 game to distract our black men from filling out them college apps and scholarships #wideawake #blm",0
Artists of Saint Louis painted over broken windows after the Delmar Loop Protests. This is what community looks like. #BlackLivesMatter,1
"Everyday this clip is tweeted, until our #wildhorses r no longer abused & taxpayers no longer fleeced by #BLM. Congress: #GroundTheChoppers",1
"Filmmaker 
 embedded w/ Oakland PD for 2 years—through #BlackLivesMatter protests & an underage sex scandal. 

This is what he saw:",0
"WOW! Black males have committed EVERY SINGLE MURDER in the city of St. Louis this year! Well, #BlackLivesMatter, do you have a response?",1
RT: Great Doc. of Coming Together! This Black Man is a leader and has a voice! #BLM would have a better public opinion w/ this leadership!,0
It's funny how people bitch and moan how #BlackLivesMatter only centers the lives of BM when the only Black men BLM loves is a dead one.,1
I'm black Monica. Police in STL have shown time and time again that they don't value my people. I RESPECT Chris. #BlackLivesMatter,1
Then tell your husband's co workers to stop killing my people. I RESPECT GOOD officers. I'm sure your man is one of them. #BlackLivesMatter,1
St Louis PD do a quick take down of #BLM #terrorist (looks sober…may be on speed) who thinks he's god…why'd do that?,1
This is what happens when you let White Supremacist take care of your new born Black baby. Abuse and even death #Blacklivesmatter,1
"He wasn't blond, and his eyes weren't blue.
 It was only Syria. What is the hypocrisy of the world? What is this stinking racism that has emerged in the Western and European regimes? 
.
#Ukraine 
#Russia.",0
"NATO apologists are are playing tragicomedy at UN, praying for Ukraine while cursing Russia. I don't know what is wrong with these people. God is impartial. And he is certainly not only available when 'white' Europe is at war, but also when you lay waste to life in Libya et al.",0
"#Putin’s #Russia sends in starving teenaged soldiers to a fight a war they don't want to be a part of… Dear Russia, get rid of this Hitler kind of leader. #ukraine #StopPutinNOW",1
"Oh ffs

Don Samuels is campaigning with an anti-abortion pastor from a homophobic church and is claiming we need a strong leader, what a fucking joke",1
David Lammy took an intern from CARE (Christian Action Research Education) an anti abortion group. This man has no scruples,1
"Anti-abortion lawmakers want to block patients from crossing state lines!

MICHAEL BENNET says this is despicable!

“It wasn’t radical enough to take away a woman’s freedom to make decisions about their own body & future”

Re-elect 
 to protect women!

#DemVoice1",1
Anti-abortion extremists not knowing Green Day was not on their team reminds me of when Paul Ryan said he listened to Rage Against the Machine. Just complete inability to read the room. What did they think American Idiot was about?,1
"Please educate me: I’m confused about the exception of rape/incest clause in many of these anti-abortion laws. A woman is raped. Statistically speaking, she doesn’t report. She finds out weeks later (maybe longer) that she’s pregnant.(1/2)",1
"Puerto Rico has a pop > 21 states & is subject to all SCOTUS rulings. PR providers & activists have long been fighting anti-abortion bills, incl. a recent 20- week ban getting traction. Abortion is still available in PR. Why're you leaving PR out of your post-Dobbs analyses/maps?",1
"This is stupid for several reasons, but something that shouldn't be elided is that public opinion on abortion has been stable and overall positive for decades! And abortion rates have declined over time. None of this is happening because of a boost in anti-choice support.",1
Someone RTed some queer leftist’s anti-abortion zine into my feed and I’m looking at it because I’m a masochist and it’s full of a lot of misinformation but the idea that the abortion “industry” is worth “a billion dollars” is just… I have to laugh,1
"Pardon me, but it seems weird for the “outer edge of the anti-abortion movement” to make up the mainstream of GOP officials.

Officials in multiple states have moved to introduce or reimpose bans with no exceptions—and to write into state codes that life begins at fertilization.",1
"Can you imagine if lefties acted as irrationally as the right?

“If only the anti-choice movement hadn’t spent decades bombing, shooting up, and screaming at abortion clinics, then I wouldn’t have been forced to have 85 abortions”",0
"We should be raising $ for abortion funds, but if the Democratic Party is gonna use this crisis to raise funds, do NOT give any to anti-abortion Dems & do NOT ignore the local state races where we are holding the line & defending abortion rights.

We’ll be watching your receipts!",1
This deal would be a big mistake. The federal constitutional right to abortion was just taken away by #SCOTUS. This is no time to put a very anti-choice person in a life-time judgeship. #abortionrights,1
"Even the words ""Pro-Choice"" were a concession to the anti-abortion activists who reshaped our understanding of healthcare to make women suffer.

It was always going to end up here, we've been led by cowardice.",1
"The anti-abortion lobby has successfully pushed its narrative that banning abortions saves lives, but the truth is, women will die following the stripping away of reproduction rights in the US.

Here are some other abortion myths debunked:",1
"Sad fact: When it comes to women's reproductive rights, women in North Korea now have more freedom than women in anti-abortion US red states.",1
"The vagueness in the new anti-abortion laws is an expression of contempt, writes 
. The people who wrote them either don’t know enough about how reproduction interacts with other health conditions, or they don’t care.",1
"Kentucky's Democratic governor says it would be 'indefensible' for Biden to nominate an anti-abortion Republican to a lifetime federal judgeship 

FUNNY HOW THE GOVERNOR HAS TO TELL HOW BAD THIS IS !",1
"Did you know that 
 continues to promote and profit from and dangerous anti-abortion disinformation?

Our research on ‘abortion reversal’ advertising featured in",1
"Texas 
 hit back at his fellow Democrat, Rep. 
, after the New York congresswoman said anti-abortion Democrats should ""reassess"" serving in the party.",1
Scalia in 2014 on anti-abortion protests: “Protecting people from speech they do not want to hear is not a function that the First Amendment allows the government to undertake in the public streets and sidewalks.” Supreme Court now: Except if the protests are about us! Hacks,1
"If Democrats believe abortion is a woman's right then why did Nancy Pelosi, James Clyburn, & Steny Hoyer, leaders in the House, campaign for an anti-abortion Democrat just a few weeks ago?",1
"These bills that Ron DeSantis signed into law, that are an attack on Floridians rights, became effective July 1st:

 Don’t Say Gay Bill
 Anti-immigrant Families Bill
 Ending Voter Freedom Act
 Stop WOKE Act
 15-Week Abortion Ban (no exceptions)

1/2
#DemVoice1",1
What makes the post-Dobbs debate so awkward is that the religious movement that fueled anti-abortion politics for has waned significantly since ~2005. Political/institutional/judicial gains continued against abortion but the culture turned away from conservative Christianity.,1
"Hearing that pro-choice activists are holding massive protests outside of the homes of the SCOTUS members and I couldn’t be happier.

They’re condemning millions of American woman to unthinkable pain & suffering. So make their lives a living hell. Make them scared to go outside.",1
"Small thread from a pro-choice male POV. 
1/ Without access to abortion, I might have been a dad at 22, which wouldn't have been beneficial to anyone involved. While women shout their abortion to demonstrate how normal it is, men should do the same thing.",1
"Of course, this bozo is lying. Tim Kaine is an observant and religious Catholic with a 100% rating from Planned Parenthood & NARAL, because he has ALWAYS been pro-choice. He also believes in separation between Church & State, you lying moock.",0
"If you don’t know God is pro-choice, then you don’t know God. Furthermore, He don’t know you and that is a BAD place to be in. Open your Bible and close off the misogyny.",1
"Are you or someone you know having a hard time rebutting religious anti-abortion arguments? The #AdvocatesBible can help! Using language grounded in our religious and moral values, this book supports pro-choice Catholics in our advocacy work.

Order now!",1
"I'll be live in a couple of hours raising money for 
 Pro-Choice America. Serious thanks to 
 for organizing and providing a cool Giveaway for you all!",1
"This should be a mid-terms gift for #Democrats , as long as they don't screw it up. There are many moderate and Republican women who are pro-choice. It's time to get out and vote, ladies! #VoteBlueToProtectWomen",1
"California bills itself as a pro-choice haven, but 22 of the state’s 58 counties didn’t have a single open abortion clinic as of 2021.",1
"So what you’re saying is… other people told you what they thought you should do with your body and you chose to do what you wanted to do with your body. And you’re happy because you were able to make the choice that was best for you. 

Congrats - you’re pro-choice.",1
"Republicans aren't very pro-life when it comes to the wars, death penalty, and enforcement of the state's murderous drug war.

Democrats aren't exactly pro-choice when it comes to health freedom, education, and guns. 

In contrast, individual liberty is ALWAYS our north star.",1
"DC IF YOU ARE GOING TO SCOTUS:

Do not do interviews with random people. Ask for press credentials and look them up. Fascist streamers are doing their usual bull shit of pretending to be pro-choice & then harassing people for their streams. Today they threatened to rape people.",1
"I'm pro-life but can I offer some advice to pro-choice activists? 

1) Read through some detailed polls to see where most people actually stand on abortion. I don't mean the ""Most Americans support a woman's right to choose!"" polls. That's abstract, overbroad, unhelpful.",0
"She speaks the truth. 

The left has no one to blame but themselves for #roevswade being overturned. They took #abortion to a level that disgusts even those who believe in pro-choice. 

She says it perfectly.",0
"Men are statistically more pro-choice than women, which makes sense because to men abortion is kind of a ""get out of responsibility free"" card.",1
“Abortion” is not an acceptable way to reduce the maternal healthcare disparities between Black and white women. You fix these disparities by dismantling systemic racism. “Pro-choice is pro-choice” and stands on its OWN because women should have autonomy over their own bodies.,1
"I believe in both bodily autonomy and the sanctity of life.

In some situations, abortion is necessary. Being pro-life requires being pro-choice.

Overturning Roe v Wade was one small vote for a group of mostly men—and one giant setback for human rights.",1
"Just so it’s crystal clear, I am pro-choice. Pro-equal rights. Pro-gun control. Pro-intellectualism. I respect the opinions of those I may disagree with. And, if your beliefs attempt to control the rights of anyone else’s freedoms, I’m uninterested in further discourse.",1
SCOTUS' radical decision to overturn Roe + destroy nearly 50 years of legal precedent makes clear we need to elect pro-choice majorities nationally + here in Colorado. I've never been more energized. Ready to get to work restoring these rights.,1
".
 says he’s talking to his membership about reconvening the General Assembly to pass the EACA, in conversation with 
 activists. Noted his pro-choice voting record. Says he needs 2/3rds of the House to reconvene.",1
"When I got pregnant at 19 I had my son. I made that choice. I thought I could be a good mum. Another teen might not have wanted that. So I’m always pro-choice. #womensrightsarehumanrights #RoeVWade #abortion
*pic actually of me preg with daughter 9 years later. Another CHOICE*",1
"See I believe in choice. Be a mom. Be a banker. You can even be BOTH if you want. I value and respect all of those choices equally.

That’s why I’m pro-choice. It’s the CHOICE that’s liberating.",1
"So far, the only violence I’ve seen at pro-choice protests is from the police. They certainly get tough when most of the crowd is women. #RoeVsWade",1
"The claim that Ben Watterberg was against non-white immigration is a heinous lie. He was among the most pro-immigration voices in America for decades. The suggestion he favored violence against abortion clinics is a lie. Ben pro-choice, ffs.",0
"#CriticalVoices: ""“We’re Pro-Choice And We Riot!” – How Anarcha-Feminists Built Dual Power In Struggles For Reproductive Freedom"" via 
 
Read here:",1
"Great thread by 
. Proud to be a supporter of 
. And he’s spot on re: the responsibility of pro-choice men:

“We need to carry the burden of changing the way men think, speak, & act on this issue.”",1
"For 49 years, Liberty's torch shone to ensure basic human dignity to families making personal choices.

Now, SCOTUS snuffed out our torch.

Help protect a woman's right to choose. Help us register more pro-choice Democrats 

 #GMW4U #Voterizer #RoeVsWade",1
"We are fighting in states across the country. We’ve already endorsed dozens of women to state legislatures this year, and we have so many more to come. Voting for Democratic pro-choice women is the way to defeat Republicans and abortion bans.",1
"It's obscene that this ""research"" was funded with taxpayer dollars.

Make the Academy fund itself, privately.

Pro-choice protesters using map created by UGA professors to target pro-life clinics via 
 -",0
"Them: “no one is pro-abortion” 
Me: “nah I definitely am” 

Let’s talk about why I use the term pro-abortion instead of pro-choice when I’m talking about abortion access! 

(thread)",1
"Today is my 53rd birthday

Not asking you to follow me.

I am asking you to follow ⁦
⁩ 

Max is our former Congressman and a pro-choice veteran running in #NY11 

against my current rep who actually said SCOTUS ruling didn’t go far enough 

#DemVoice1",1
"VP Kamala Harris points to the election as key to abortion access: ""There's an election happening . We need to change the balance and have pro-choice legislators who have the power to make decisions about whether this constitutional right will be in law.""",1
"As of now, abortions remain accessible and legal in the state of Pennsylvania, but if we do not flip the state legislature in the fall the right to choose will be at risk. Make sure to elect pro-choice leaders and help fortify PA.",1
"AOC: ""Not every Democrat is pro-choice.we really need to reassess if it's appropriate for them to continue to serve.""

If the Democrat party wants to own abortion, let them.",0
"Cheri Beasley 

If you are one of the 74% of North Carolinians that are pro-choice, then your choice is clear!

Cheri Beasley will fight for abortion rights and Ted Budd will fight for mandatory childbirths!

Please donate!

 
 #DemVoice1",1
"If you would not have or be party to an abortion but do not believe other people should be forced to not have or be party to abortions, you are not ""personally pro-life but socially pro-choice"" or whatever. You are pro-choice. Giving birth because you want to is a choice.",1
"Don’t let journalists get away with framing the debate around abortion as a 50/50 issue.

That’s actually fake news.

America is an overwhelmingly pro-choice nation.

The anti-abortion movement is pushing a radical agenda that America fully rejects.",1
"""As far as we're concerned, the midterms started on Friday."" 
 on how pro-choice groups are taking actions as abortion bans start to take effect in states.",1
"I have bad news. I'm getting DMCA strikes for the pro-choice protest videos I shared. I embedded them with the uploader's name under each tweet which is what we see everyone on Twitter do. Can you all please ask 
 not to ban my page for this?",1
"Conservatives kill & harm more “babies” than pro-choice women ever will. 

-Poverty kills babies 
-Classism kills babies 
-Racism kills babies 
-School shootings kill babies 

You perpetuate all of these things. Take a look in the mirror, buddy.",1
Manchin is pro-choice but also pro-life and opposed to repealing Roe but supportive of the Justices who repealed Roe and willing to codify Roe but not willing to change the filibuster to codify Roe.,1
"Thank you to 
 for all that you have done for 40 years and will continue to do to elect pro-choice women up and down the ballot. Now, more than ever, your work is critical in protecting Minnesotans' fundamental right to abortion and reproductive rights.",1
"We MUST elect progressive women to every seat. Promote and support candidates who are pro-choice and will protect our voting rights. Governors Matter. Secretaries of State Matter. Research them, and get out the vote. 
Help these women get elected!",1
"New Hampshire is a pro-choice state. End of discussion. 
 needs to stop cowering from extremists in the legislature. He needs to call a special session to codify abortion rights in the Granite State. #NHPolitics",1
"'Full House' star Jodie Sweetin says she's ""seen a lot worse"" while commenting on a viral video of her being shoved by police during a pro-choice protest.",1
"""Dobbs falsifies the progressive vision of history. One woman held a sign saying, 'We Will Not Go Back.' .The reversal of Roe imperils this momentum. Pro-choice people's entire vision of progress is now in doubt."" 
 for",1
Seeing a bunch of people switch from no party to Democrat so they can put a pro-choice woman in the Florida governor's office. Thank you.,1
"Republicans anti-vaccine mandate movement co-opted the language “my body my choice” from the pro-choice movement to create a false equivalent between the movements. Further, let’s stop pretending people who don’t care to provide for living children care at all about fetuses",0
"For the 100 or so people who unfollowed me for talking about Women’s right’s, I want to apologise…
I’m sorry that you’re too stupid to understand that Pro-Choice IS Pro-Life.",1
"I am pro-choice, but a lot has changed since Roe in ways that will likely reduce the potential harm to women from illegal abortions. (Short thread)",1
"In light of 
’s “elect more Democrats to protect reproductive rights” pitch, her support for forced-birth proponent Henry Cuellar over pro-choice Jessica Cisneros in a recent primary that Cisneros definitely could have won isn’t getting nearly enough media attention.",0
"There was a moment last Friday, when the annual SF trans march and the impromptu pro-choice protests march collided on Market street, and joined together in a new chant, in unison:

""Reproductive and trans rights! One struggle, one fight!""",1
"The pro-choice side constantly bringing up rape, women who can’t afford to raise a child, young mothers, & other traumatic situations just proves that the billion dollar industry profits off of women in their most vulnerable moments by convincing them to kill their babies.",0
"Auditor Blaha joined pro-choice women from across Minnesota at 
’s annual luncheon yesterday – it was a powerful gathering that has our campaign excited to work together to elect pro-choice women up and down the ballot this November.",1
This will be a big deal for the Congressional races in California. CA is a very pro-choice state and many CA Indies and GOPers have historically crossed over to vote Dem on this issue.,1
Before Roe abortion was being legalized state by state and many conservative evangelicals like the evangelist Billy Graham and many other Southern Baptist leaders were pro-choice. Neither the left nor the right find this fact convenient to admit. It explodes both sides' myths.,1
"The irony of pro-choice advocates proposing an increase of adoption, a process by which adoptees are stripped of their family connections, history, culture, language… even our names, is not lost on me. #adopteevoices",0
"Ectopic pregnancy? Criminalizing miscarriage? Abortion bans won't eliminate abortion? This 
 article does an INCREDIBLE job separating fact from fiction in the pro-choice talking points of post-Roe.",1
"Every month, 
’s Charity Club chooses a cause to donate to with 5% of our secondary sales. This month we minted 22 
 in which 100% of primary & secondary sales goes to pro-choice initiatives through 
 We can make change collectively",1
"In the hours after the Supreme Court ripped away women's freedom, elected Republicans across the country moved to bring back century-old abortion bans.

We need to elect pro-choice leaders who will defend our rights, not steal them away.",1
"These are the consequences of a post-Roe world. Abortion is essential healthcare and banning it puts lives in danger.

The House passed the Women’s Health Protection Act but we don’t have a pro-choice (& anti-filibuster) majority in the Senate. We need to change that in November",1
"I believe with every fiber of my being that the Dems could get 
 & 
 to cross over, bust the filibuster then codify Roe. 

Murkowski is openly pro-choice. 1/2",1
I just bought a Hellfire Club shirt that is pro-choice and proceeds go to an abortion fund. I am been released from my mortal prison and this is now who I am!,1
"Senator Susan Collins may feign shock and disappointment at her betrayal, but she should now be pushed to spend the $2.6 million balance in her campaign war chest to support pro-choice candidates.",1
".
 debunks the pro-choice arguments of a caller who starts the discussion with “I think this whole Roe v Wade thing is ridiculous.” #RoeVsWade",0
"Gen Z is ready to elect a pro-choice majority that’ll codify abortion rights. 

Can you chip in to help 
 turn out our generation?",1
"Alliance for Choice North Coast 

The tide is turning, we are pro-choice and proud! Thank you so much to everyone who came tonight! #RoeVWade #RoeOverturned",1
"People don’t want to eat lentils (Bbg). They don’t want to abuse their pets. They don’t want to be told not to travel to see Family & Friends.

They *do* want Freedom and individual liberty. Very grateful to live in Texas, where we will never surrender basic human rights #OOTT",1
