text,tweet_translated,labels
"Four of the states in had impeachment clauses in their state constitution that specifically allowed impeaching a former official, but when they wrote the United States Constitution, they only allowed current officials.","Empat negara bagian dalam specifically memiliki klausa pemakzulan dalam when konstitusi states negara mereka yang secara khusus Constitution, diizinkan mendakwa mantan impeaching pejabat, allowed United tetapi ketika mereka nulis Konstitusi Amerika Serikat, mereka hanya of diperbolehkan pejabat saat ini.",0
The LGBTQ community around the world will once again know that America stands with them and will protect their rights. https://t.co/E0hIUOaYjr,Komunitas LGBTQ di seluruh dunia akan tahu scl lagi bahwa LGBTQ Amerika berdiri around with bersama mereka dan will bakal melindungi hak-hak them mereka. https://t.co/E0HIUOAYjr,1
Had the opportunity to speak to @usds Advanced Leadership and Practice class this afternoon. Another great stop on campus. https://t.co/fd5y8fwoAc,Memiliki kesempatan untuk ngomong dengan @usds Advanced Leadership and Practice class sore ini. the Another Advanced Pemberhentian besar lainnya @usds di kampus. https://t.co/fd5y8fwoAc https://t.co/fd5y8fwoAc,0
Because its right https://t.co/4PXNIHVSWM,Karena yang right benar https://t.co/4PXNIHVSWM,0
"Joe Biden's inflation crisis is raging and  all he can think about is more harmful, reckless and  wasteful government spending. Americas poorest families are hurting and  I'm fighting every day to stop this growing crisis. Read more in my weekly inflation update: https://t.co/dI0jaKIPRZ","Krisis Joe inflasi Joe I'm Biden can sedang berkecamuk harmful, hurting stop to think dan and more yg dia pikirkan adalah pengeluaran pemerintah yg berbahaya, sembrono, dan boros.",0
"Last month, on my trip to the southern border, I heard directly from Border Patrol agents about how the current surge of unlawful migrants is straining resources, endangering not just the vulnerable unaccompanied children, but the security of our own border.","surge Bulan directly lalu, dalam perjalanan saya heard ke perbatasan children, selatan, gw mendengar langsung dari agen Patroli Perbatasan tentang bagaimana lonjakan my migran yang melanggar hukum saat the ini menguras sumber daya, membahayakan trip bukan hanya anak-anak yang tdk ditemani, tapi the is resources, keamanan perbatasan kita sendiri.",0
Bidens border crisis is a scandal of gigantic proportions that is being ignored by the administration and the mainstream media. CBP is on track to set a record for the most apprehensions in a single year. My letter to @SecMayorkas here https://t.co/yShCxyHuhf https://t.co/PXX3D24WCB,Krisis for perbatasan of most Bidens adalah skandal proporsi raksasa yang sedang diabaikan gigantic oleh administrasi dan being media crisis arus utama. CBP berada di jalur untuk mengatur administration catatan untuk yang paling ignored ketakutan dalam year. the satu tahun. Surat saya kepada @SecMayorkas di sini https://t.co/ShxyHft https://t.co/X3D24CB,0
"Unemployment benefits are not the problem. A lack of affordable, high-quality child care, paid leave, and an unlivable minimum wage are the problem. If we want to help families get back to work, let's build an economy that supports working families. https://t.co/kIosSKI3jj","benefits Keuntungan pengangguran bukanlah masalah. kurangnya perawatan bocah lack yang terjangkau dn economy berkualitas not tinggi, membayar minimum cuti, dn upah minimum yang tdk dapat diterima adalah masalah. get jika kita leave, pengen membantu keluarga wage kembali bekerja, mari kita problem. bangun ekonomi yang mendukung keluarga unlivable pekerja. https://t.co/kiosSI3jj",1
"This is jarring and  tragic. We are nearly years into the pandemic and  recording alarming rates of cases, hospitalizations and  deaths. We couldn't prevent most deaths years ago, but we can now. Please do your part - get vaccinated and  boosted if you haven't so we can save lives. https://t.co/x8dgvlBiXr","Kami hampir bertahun-tahun berada prevent dalam pandemi dan merekam kasus-kasus mengkhawatirkan, rumah sakit dn kematian. kami deaths tdk bisa mencegah sebagian besar kematian but lives. tahun lalu, tapi and and kami bisa pandemic is sekarang. tolong lakukan bagian anda - divaksinasi dn meningkatkan jika lu tdk bisa Please ago, haven't menyelamatkan cases, nyawa. https://t.co/x8dgvlBiXr",1
"Unbelievable. This is a new low for the @unhumanrights. Giving @nicolasmaduro, a murderous dictator who is committing a genocide against his people, a platform is unforgivable and will not be tolerated. https://t.co/SnomdzC8V6","Tidak dapat dipercaya ini adalah kerendahan baru committing untuk This hak-hak @unhuman. low who ngasih platform @nicolasmadurro, seorang diktator pembunuh murderous yang melakukan genosida terhadap rakyatnya, sebuah platform tidak dapat dimaafkan against dn tidak bakal a ditoleransi. https://t.co/SnomdzC8V6.",0
I've been working in Congress to make sure our workers are leading this effort. I know I can count on @POTUS and @SecGranholm as partners in this!,gw telah bekerja workers di Kongres I've untuk memastikan pekerja on kita memimpin upaya as ini. saya tahu saya dapat can mengandalkan @POTUS dn @SecGranholm sebagai mitra dalam and hal ini!,1
Read my op-ed in @JournalStarNews about what a blessing it was to remember my childhood again and to better understand my parents by the treasures they kept. https://t.co/myAnv8s2Mw,Baca op-ed better saya di @Journal StarNews tentang apa a berkat itu untuk mengingat masa kecil again it gw lagi dan untuk lebih memahami orang op-ed remember tua saya dengan harta mereka the terus. https://t.co/myAnv8s2Mw,0
More help is on the way for Nevadas small businesses! I just voted to extend the Paycheck Protection Program to May to make sure businesses can keep their employees on the payroll while we restore our economy and get things back to normal.,gue hanya to Program memilih untuk memperpanjang and May employees on Program Perlindungan Paycheck ke May untuk memastikan bisnis mereka tetap normal. bisa digaji sementara kita businesses! mengembalikan ekonomi kita dn mengembalikan semuanya kembali payroll for normal.,1
"Ill be on the Senate Floor around :00 PM with @MarcoRubio to honor the lives lost in the horrific tragedy in #Surfside and  extend our gratitude to the brave first responders working on search, rescue and  recovery. https://t.co/dB71fUSQbn","be Aku bakal berada di Senat Floor sekitar pukul 1:00 to dengan tragedy on @MarcoRubio untuk menghormati nyawa yg hilang around dalam tragedi mengerikan di #Surfside dan menyampaikan rasa terima kasih kita kepada para the responden berani pertama lives yg bekerja pada pencarian, penyelamatan dan the gratitude pemulihan. https://t.co/d71fusQbn",0
Congrats Dr. Khaldun on being appointed to the White House COVID-19 Health Equity Task Force. Dr. Khalduns leadership has been vital to efforts in Michigan to combat this virus and address health disparities that have been further exposed by this pandemic. https://t.co/cgEyQ2TlHv,Congrats Dr Khalduns pada ditunjuk ke Khaldun White House combat COVID-19 further Kesehatan Health Equity Task Force. Dr Dr. Khalduns that kepemimpinan Michigan telah penting untuk upaya di Michigan untuk memerangi virus ini on dn in mengatasi perbedaan kesehatan yg telah lebih terbuka been oleh pandemi ini. https://t.co/cgEyQ2TlHv,1
"the Lord himself will give you a sign; the young woman, pregnant and about to bear a son, shall name him Emmanuel. Isaiah :14","Tuhan sendiri bakal memberikan tanda, wanita Emmanuel. will muda, sign; hamil dan a akan Lord melahirkan anak laki-laki, akan to menamainya Emmanuel. Yesaya:14",0
"Some view China as a juggernaut that cannot be stopped, but authoritarian regimes like the CCP have visible weaknesses. There's a fundamental strength that accompanies democratic freedoms and values and the U.S. must partner with other free nations to promote these values abroad. https://t.co/U3cJKYFOuQ","Beberapa org memandang Cina sebagai juggernaut yang weaknesses. free tdk dapat dihentikan, tetapi rezim otoriter seperti CCP memiliki kelemahan yang terlihat. ada the kekuatan fundamental yang view menyertai values kebebasan demokratis accompanies dan other nilai-nilai dan Amerika Serikat musti bermitra dengan negara-negara bebas lainnya be untuk mempromosikan like nilai-nilai ini di luar a negeri. authoritarian https://t/U3cJKYFOQ",0
Thank you @POTUS for highlighting the expanded Child Tax Credit. We can afford to extend it AND make it permanent. Looking forward to working with you and @VP to get it done. #JointAddress,Terima kasih @POTUS @POTUS untuk menyoroti the peningkatan Kredit get Pajak Anak. kita mampu AND can memperpanjangnya dan membuatnya permanen. working ngeliat it ke depan untuk bekerja dengan expanded Anda dan @VP untuk menyelesaikannya. #JointAdress,1
"Next week, the Senate will vote on the Freedom to Vote Act. This bill includes proven reforms I helped implement as CA's top elections official to make our elections more accessible and  secure. We must act to protect our democracy.","minggu depan, Senat akan memilih Senate Freedom to protect Vote more Act. undang-undang ini termasuk reformasi yg terbukti gw bantu melaksanakan sebagai pejabat pemilu top CA week, Freedom untuk membuat pemilu kita lebih mudah This diakses dan aman. top kita harus bertindak untuk melindungi Vote demo We reforms kita.",1
A disproportionate burden of student debt falls on people of color. President Biden can use executive authority to #CancelStudentDebt and help close the racial wealth gap. https://t.co/WRj75TgJCj,falls Sebuah beban gap. yang authority tdk proporsional dari utang mahasiswa jatuh pada orang-orang dengan warna. Presiden Biden use dapat menggunakan otoritas of eksekutif untuk #CancelStudentDebt dan racial membantu menutup kesenjangan kekayaan ras. https://t.co/WR75TgJj,1
Hardworking #Iowa taxpayers deserve to know how much of their hard-earned money was shipped to Communist Chinas Wuhan Institute of Virology. Im working to shine light on where our tax dollars are going. WATCH https://t.co/RvFzqtWbr3,Bekerja keras #Iowa Virology. Chinas of pembayar pajak tax layak untuk mengetahui much #Iowa berapa banyak Wuhan uang mereka yg susah payah dikirim ke Institut Viologi Komunis their Wuhan.,0
"While trillions of dollars may not mean a lot to Washington politicians, it means a heck of a lot to the taxpayers in Iowa who are footing their bill.","Meskipun triliunan mean dolar mungkin Iowa aja tidak may berarti banyak a bagi to politisi Washington, itu berarti banyak scl bagi para pembayar pajak di Iowa taxpayers yang lot membayar tagihan mereka.",0
"The bipartisan infrastructure law is the largest federal investment in public transportation ever. Safe, reliable, efficient public transportation uplifts communities and it cuts emissions and this law is securing that for Virginians all across the Commonwealth. https://t.co/AnCOO2etC7","Hukum infrastruktur bipartisan adalah investasi and federal terbesar dalam transportasi publik aman, efficient infrastructure all aman, dan efisien transportasi publik the meningkatkan komunitas this largest dan memotong emisi dn hukum ini mengamankan and bahwa bagi Virginian di seluruh Commonwealth. it https://t.co/Anco2et7.",1
Stay up to date on my latest work for Iowans by subscribing to my newsletter today https://t.co/0Tx1K0xIj1 https://t.co/ceMuF7zLZW,up Tetap up to subscribing date on my newsletter my latest work for Iowans by subscribing to my newletter today https://t.co/0Tx1K0xIj1 https://t.co/ceMuF7zLZW,0
Three words to describe what we've seen from President Biden's administration: Boring but radical.,Tiga President kata untuk menggambarkan apa describe yg telah kita seen lihat dari pemerintahan Presiden Biden: membosankan tapi radikal.,0
This is abhorrent. Our country should be better than this. https://t.co/xrLTDW8vOB,should better Ini menjijikkan. Negara kita harus lebih baik dari ini. https://t.co/xrLTDW8vOB,1
"All of New Mexicos new graduates have overcome incredible obstaclesespecially this past yearand I am truly excited to see all that you accomplish for our world in the years ahead. Congratulations, Class of . https://t.co/hJIKxVRdJy","Semua lulusan obstaclesespecially baru yearand New Mexico telah mengatasi ahead. Congratulations, rintangan yg years luar biasa setahun terakhir ini dan saya benar-benar excited bersemangat untuk ngeliat to semua yg Anda capai untuk dunia kita di tahun-tahun https://t.co/hJIKxVRdJy mendatang.",1
It's been exciting to watch the Olympics so farand even more exciting that Team USA features folks from the Treasure State! Wishing our athletes the best of luck as they continue representing Montana and our nation. #MTProud #USA https://t.co/HSfG6qim71,Ini super our menarik untuk menonton Olimpiade sejauh ini from bahkan lebih menarik bahwa even Tim USA menampilkan Team orang-orang dari as to Negara Treasure! Berharap atlet kami our yang terbaik dari so keberuntungan karena luck mereka terus mewakili Montana dan bangsa kami. #MTProud #USA https://t.co/HsfG6qim71.,1
Thank you @CPeoplesStokes @LizKrueger @DPA_NY @StartSmartNY @VOCALNewYork @Kassandra_Fred @MooreMeliss and more for your work to legalize marijuana in New York and ensure equity for those most harmed by prohibition. I will keep working to end the federal marijuana prohibition. https://t.co/d7MdjrbKzr,Terima kasih @COrangsstokes work @LizKrueger @DPA_NY @StartSmartNY to most @VOCALNewYork Thank your @Kassand_Fred and @MooreMeliss dan lebih banyak equity lagi untuk pekerjaan you lu untuk melegalisasi ganja di New York dan memastikan ekuitas bagi mereka yang paling working dirugikan oleh larangan. Saya akan @Kassandra_Fred terus bekerja untuk mengakhiri larangan ganja federal. https://t.co/Md7djrbKzrzr.,1
cc @SenBlumenthal,@SenBlumenthal cc @SenBlumenthal,1
@POTUS Those ears deserve their own Twitter account! Welcome to the White House!,@POTUS Telinga itu layak menerima akun Twitter mereka sendiri! Selamat House! the to dateng di Gedung Putih!,1
I can only imagine if President Trump had done something like this. One area of agreement there is nothing happy going on in Afghanistan due to our withdrawal. The homeland and our allies are increasingly at risk as the groundwork for another /11 is growing by the day.,gue our another hanya bisa membayangkan jika Presiden Trump telah melakukan sesuatu President seperti ini to by going satu if bidang perjanjian done tidak ada yg menyenangkan terjadi di Afghanistan homeland karena penarikan tanah risk air dn sekutu in kita semakin beresiko sebagai dasar untuk lainnya /11 tumbuh something pada hari itu.,0
It wouldnt be Thanksgiving in the Treasure Valley without Kevin dressing up as a turkey. https://t.co/1MDPmSdgmv,the Ini tdk bakal Thanksgiving di as Lembah Harta It Karun tanpa Kevin without berdandan seperti kalkun. https://t.co/1MDPmSdgmv,0
Im glad we reinstated methane standards but now the EPA must propose strong new rules that draw on the leadership of states like NM to promote healthier communities.The #ClimateCrisis is accelerating and  we cant afford to let oil/gas producers off the hook for methane pollution. https://t.co/0gShP3ROhw,gw reinstated senang kami the like mengembalikan standar metana tapi sekarang EPA harus mengusulkan aturan baru yg promote leadership kuat yang menarik on accelerating pada kepemimpinan healthier negara-negara seperti strong NM untuk mempromosikan komunitas yg lebih that sehat. The #ClimateCrisis now adalah mempercepat dn kita tdk bisa membiarkan produsen minyak/gas off hook untuk polusi metana. https://t.co/0gShP3ROhw,1
"Unclear what was achieved todayno agreement from Putin to stop cyberattacks on U.S. infrastructure, no agreement to respect Ukrainian sovereignty, no agreement to free Navalny.","free Belum jelas apa yang dicapai hari agreement ini tdk ada kesepakatan dari Putin to untuk menghentikan serangan siber terhadap infrastruktur what AS, tidak ada kesepakatan untuk menghormati kedaulatan Ukraina, tdk ada achieved kesepakatan untuk on membebaskan Angkatan Laut.",0
"Its unbelievable that the courts must order the admin to enforce our nations immigration laws, but restarting MPP is necessary to regain control of the southern border.","Sulit dipercaya bahwa pengadilan harus memerintahkan admin the untuk menegakkan immigration hukum imigrasi negara our kita, Its to tapi memulai kembali MPP restarting diperlukan untuk mendapatkan kembali kontrol perbatasan selatan.",0
"Im staying up late tonight to join @MSNBCs @TheLastWord with @Lawrence for his :00 pm show. You can probably guess what well be discussing, tune in!","be Saya bakal begadang show. malam ini untuk bergabung dengan @MSNBCs @TheLastWord dengan @Lawrence untuk acara jam 1:00 nya. lu You mungkin bisa menebak apa tonight yg to @TheLastWord bakal dibahas, tune in!",1
"The National Kidney Foundation of Arizona (@NKFArizona) works to prevent kidney disease in Arizonans through awareness, education, and research. If you or your loved ones need support, visit: https://t.co/TULWB5mue1. #WorldKidneyDay","works National Kidney Foundation of Arizona (@NKFArizona) https://t.co/TULWB5mue1. bekerja untuk you mencegah penyakit ginjal di #WorldKidneyDay your Arizonan melalui kesadaran, National pendidikan, dn support, penelitian.",1
"Idahos state and  local officials have worked tirelessly to balance the public safety of individuals with the needs of small businesses. As we emerge from this pandemic, we are beginning to see the positive impacts these open-economy policies have had. https://t.co/u09c8Tx5rE",Negara bagian Idaho dan emerge pejabat to lokal telah bekerja tanpa needs have capek open-economy untuk menyeimbangkan keamanan publik individu dengan kebutuhan of of bisnis kecil. kita state mulai we melihat dampak positif kebijakan-kesenonomi terbuka ini telah As memiliki. https://t.co/u09c8Tx5rE.,0
Basic keyless ignition safety standardsmandated by the PARK IT Actare overdue. It will force DOT to issue rules that would avert injuries and  deaths. Preventing carbon monoxide poisonings and  rollaway incidents can save lives. https://t.co/5kF9ndBTbc,Pengapian standar keamanan tanpa kunci deaths. oleh PARK IT keyless Act terlambat. Ini and bakal memaksa DOT untuk mengeluarkan aturan yang bakal mencegah cedera injuries dan the kematian. PARK will Mencegah keracunan karbon monoksida https://t.co/5kF9ndBTbc dn insiden rollaway bisa menyelamatkan nyawa. https://t.co/5kF9ndBTbc,1
Good read in the @EastOregonian about how Umatilla County Commissioner George Murdock and  colleagues are working to adopt a better response in their rural Oregon communities when people are experiencing a mental health or substance abuse crisis. https://t.co/KMtGubEEMS,Bacaan colleagues are yg bagus to di Good @EastOregonian tentang better bagaimana Umatilla County Komisaris George Murdock bekerja untuk mengadopsi respon yg working lebih baik di pedesaan communities masyarakat Oregon ketika George County orang-orang mengalami krisis kesehatan mental atau penyalahgunaan zat. https://t.co/KMtGubEEMS,1
"Todays #PrideMonth leadership spotlight: Ed Potosnak, Executive Director of @NJLCV and former Chemistry teacher. A sustainability advocate, he is chair of the Keep it Green Coalition, funding the preservation and stewardship of NJ's natural resources. https://t.co/N82E6OiZPu","stewardship Hari ini #PrideMonth kepemimpinan sorotan: Ed Potosnak, Coalition, spotlight: of of Todays Executive Director Director @NJLCV of the @NJLCV dn mantan guru Kimia.",1
A critical part of our nation's pandemic response is to address the racial disparities COVID-19 has shone a light on.Im working to make sure we build back stronger and fairer as we address these inequities and the long-term effects of this pandemic. https://t.co/6Vg87rBCx0,Bagian penting dari respon pandemi negara kita adalah untuk mengatasi we perbedaan ras to the COVID-19 telah pandemic memancarkan these cahaya pada.Im yang bekerja untuk build memastikan kita part membangun kembali lebih and kuat dn adil address saat light kita mengatasi ketidakadilan ini dan efek jangka panjang dari pandemi ini. https://t.co/6Vg87rBCx0,1
Proud to see CA lead the way in signing our state's Momnibus Act into law today. Congress must follow suit and  pass the#Momnibusto combat the maternal health crisisincluding my bill with@SenatorWarnockto fight systemic disparities and  racial bias in our health care system.,Dengan bangga melihat CA memimpin jalanan dalam menandatangani Momnibus Act negara pass suit to kita ke dalam hukum the hari ini. Kongres harus mengikuti must gugatan dan lulus#Momnibusto memerangi krisis kesehatan ibu with@SenatorWarnockto termasuk tagihan combat gw dengan@Senator systemic Warnockto melawan disparitas sistemik dan prasangka ras dalam sistem perawatan kesehatan in Momnibus kita.,1
I was speaking on the Senate floor defending Arizona's election while Officer Eugene Goodman led insurrectionists away from the chamber. Forever grateful for his service to our country and his defense of democracy. https://t.co/ALLDowNWtP,gue ngomong di lantai Senat membela pemilihan Arizona sementara election Petugas Eugene Goodman floor for memimpin pemberontak menjauh dari ruangan selamanya untuk melayani negara grateful kita his while of dn mempertahankan defense demokrasi.,1
"Addressing the climate crisis, fixing our broken immigration system, and investing in child care are NOT partisan issuesthat's why a majority of Americans support them. We must keep fighting to deliver these historic investments.","Mengalami krisis iklim, memperbaiki sistem imigrasi are kita them. investing yg rusak, dn berinvestasi dalam care fighting perawatan anak bukanlah isu partisan itu sebabnya sebagian besar historic orang Amerika mendukungnya. kita broken musti terus berjuang untuk a memberikan investasi bersejarah ini.",1
"Just over a month ago, Congress passed an additional $900 billion in COVID-19 relief. A lot of that money hasnt even been spent yet. Yet Democrats are trying to push through another bill with a huge price tag and  unrelated policies that do *nothing* to beat COVID","Beberapa bulan yg another lalu, Democrats even Kongres mengeluarkan 900 push miliar been dolar tambahan di bantuan COVID-19 banyak uang yg bahkan spent billion blm dibelanjakan namun Demokrat mencoba untuk to mendorong melalui undang-undang lain dengan label harga yet. yang A besar dan kbijakan yg price tdk terkait yg melakukan *tidak * untuk mengalahkan COVID *",0
The calamitous Biden withdrawal from Afghanistan underscores the grave error of giving adversaries a fixed timeline. The Taliban bided their time. Grateful for our brave service members who are conducting heroic work in terrible conditions.,penarikan withdrawal Biden timeline. yang kejam dari Afghanistan menandaskan kesalahan seriusan giving memberi musuh waktu yang ditetapkan fixed Taliban menunggu waktu mereka The bersyukur atas of heroic para adversaries anggota pelayanan berani kita yang melakukan pekerjaan heroik dalam kondisi yang mengerikan.,0
Celebrating #RockYourMocs Day with my sistersmine are from the upper Yukon region and  Carols Athabaskan mocs are made from moose and beaver. Wearing your Indigenous footwear is a great way to commemorate #NativeAmericanHeritageMonth and  the beautiful culture of Alaska Natives. https://t.co/8nlvPaHOq0,Hari Rock YourMocs great way dengan saudara perempuan saya berasal and dari daerah Yukonn atas dan Carols beautiful Athabaskan mocs dibuat dari rusa dn berang-berang mengenakan sepatu Anda adalah cara yang mantap untuk memperingati #NativeAmericanHeritageMont dan Indigenous budaya Carols indah dari your Alaska https://t.co/8nlvPaHOq0 Celebrating Natives. #NativeAmericanHeritageMonth https://t.co/8nlvPaHOq0,0
Six months. The Afghan government is estimated to collapse six months after a withdrawal of U.S. troops. Politics should never come before our national security interests. The President must reconsider his plan to withdraw all American troops from Afghanistan by September. https://t.co/AWVSUdggwA,"Six 6 bulan, six pemerintah Afghanistan diperkirakan bakal runtuh 6 bulan setelah penarikan pasukan AS politik tdk boleh must dateng sebelum kepentingan keamanan withdrawal is interests. collapse nasional kita Presiden harus months. mempertimbangkan kembali rencananya untuk menarik semua pasukan a Amerika dari Afghanistan pada Afghan September https://t.co/AVSUdwogwa",0
"""[T]his $5 trillion ... blowout would come on top of a $1.2 trillion infrastructure bill that is more about social spending ... . That ... atop get this! a total of $5.7 trillion already spent in different COVID-19 relief bills and ... executive orders in just months.""","[T]$5 triliun nya ... ledakan akan dateng di on atas 1,2 triliun tagihan infrastruktur yang bill lebih tentang pengeluaran sosial ... ... itu ... atas mendapatkan ini! total $ 5,7 triliun telah menghabiskan dalam that and atop social tagihan ... COVID-19 . berbeda relief dn ... perintah trillion eksekutif $1.2 hanya dalam beberapa bulan. """,0
Final Reminder Today is the last day to enroll or change your health care coverage through the ACA to ensure coverage on Jan. ! Visit https://t.co/jZzBcoEXgY to find a plan that works for you and your family.,Pengingat Terakhir Hari ini adalah hari family. your health terakhir untuk mendaftar and atau mengubah layanan kesehatan Anda melalui ACA Reminder untuk memastikan care cakupan pada Jan. ! Kunjungi to the https://t.co/jZzBcoEXgY untuk menemukan rencana yg bekerja untuk Anda dan works keluarga Anda.,1
"Republicans and  Democrats should come together--as we've done FIVE TIMES before, including UNANIMOUSLY in --to reauthorize and  restore the #VRA. We can do that by passing my bipartisan John Lewis #VRAA. No more excuses. My full statement HERE: https://t.co/iEQUSxyna2","Republik dn together--as Demokrat and musti TIMES in bersama-sama should - seperti more yg telah kita lakukan lima kali sebelumnya, #VRA. termasuk UNANIMUS --untuk mengesahkan kembali dn mengembalikan #VRA. kita bisa melakukannya dengan melewati bipartisan John Lewis #VRAA. No Tidak ada lagi We alasan. pernyataan lengkap gw di sini: https://t.co/iQUSxyna2",1
"Thank you, Senator @JohnBoozman, for agreeing that a hearing on the cattle market is necessary. The Senate Ag Committee needs to hear from our cattle producers first-hand about the unprecedented challenges facing the industry.","Terima kasih, Senator @JohnBoozman, untuk menyetujui bahwa sidang di our from that pasar Senate ternak hearing Committee cattle for diperlukan.",0
My prayers are with the families struggling in the cold right now. Our nations critical infrastructure is vulnerable to extreme weather events. We can no longer turn a blind eye to the resiliency investments needed to protect communities. https://t.co/FZkzzAj4uE,struggling Doa-doa saya adalah blind communities. nations dengan keluarga yang berjuang dalam keadaan dingin sekarang infrastruktur penting negara kita the rentan terhadap peristiwa to extreme cuaca ekstrim kita critical tidak bisa lagi Our menutup mata terhadap investasi ketahanan yg diperlukan untuk melindungi masyarakat https://t.co/FZkzzAj4uE,1
"@JimInhofe, @RepFrankLucas and  I introduced a bill that protects Harmon Hospitals critical access designation so they can keep their doors open. https://t.co/12ZfgUeTgT","open. @JimInhofe, @RepFrankLucas https://t.co/12ZfgUeTgT dn gw memperkenalkan sebuah undang-undang yg melindungi nama akses that I rumah Sakit Harmon yang kritis introduced sehingga mereka dapat menjaga pintu mereka tetap terbuka. https://t.co/12ZfgueT",0
"Today is #PeaceOfficersMemorialDay and concludes #NationalPoliceWeek. Today, we remember and honor the local, state and federal peace officers who have died, or who have been disabled, in the line of duty. Your service does not go unnoticed. Thank you.","Hari #PeaceOfficersMemorialDay ini adalah hari pemberian kedamaian dn hari pembalasan dan menyimpulkan #National PoliceWeek. hari is ini, kita federal have mengingat dan menghormati petugas state perdamaian lokal, Thank negara disabled, dn federal yg telah meninggal, atau yg telah cacat, dalam menjalankan tugas pelayanan anda tdk luput have dari perhatian. terima duty. kasih.",0
